Surname,count,percent,min_rank,cume_dist
本間,1421,0.0795679031701734,207,0.3033500395673965
松原,1417,0.07934392596209411,208,0.30481549869574137
南,1414,0.07917594305603462,209,0.30628095782408626
松永,1409,0.07889597154593549,210,0.3092118760807761
水谷,1409,0.07889597154593549,210,0.3092118760807761
青山,1401,0.07844801712977688,212,0.310677335209121
小澤,1400,0.07839202282775705,213,0.31214279433746595
浜田,1396,0.07816804561967775,214,0.31360825346581084
中嶋,1393,0.07800006271361826,215,0.31507371259415573
河村,1392,0.07794406841159844,216,0.3165391717225006
牧野,1384,0.07749611399543982,217,0.31800463085084557
鎌田,1380,0.07727213678736052,218,0.3194700899791905
吉野,1378,0.07716014818332087,219,0.3209355491075354
櫻井,1376,0.07704815957928121,220,0.3224010082358803
中尾,1374,0.07693617097524155,221,0.32386646736422525
白石,1367,0.07654421086110277,222,0.32533192649257014
金,1366,0.07648821655908294,223,0.32679738562091504
寺田,1363,0.07632023365302347,224,0.32826284474925993
天野,1360,0.076152250746964,225,0.3297283038776049
富田,1359,0.07609625644494417,226,0.33119376300594977
足立,1350,0.07559230772676573,227,0.33265922213429466
浅井,1339,0.07497637040454763,228,0.3341246812626396
西,1333,0.07464040459242867,229,0.3355901403909845
川島,1332,0.07458441029040885,230,0.3370555995193294
張,1331,0.07452841598838902,231,0.3385210586476743
豊田,1326,0.07424844447828989,232,0.33998651777601924
塚本,1323,0.0740804615722304,233,0.34145197690436413
小泉,1316,0.07368850145809162,234,0.342917436032709
稲垣,1301,0.07284858692779422,235,0.3443828951610539
王,1290,0.07223264960557614,236,0.3473138134177438
坂田,1290,0.07223264960557614,236,0.3473138134177438
須藤,1289,0.07217665530355631,238,0.3487792725460887
多田,1286,0.07200867239749682,239,0.3502447316744336
栗原,1283,0.07184068949143735,240,0.35171019080277854
坂井,1281,0.0717287008873977,241,0.35317564993112344
田辺,1272,0.07122475216921927,242,0.35464110905946833
神谷,1270,0.07111276356517961,243,0.3561065681878133
中井,1269,0.07105676926315979,244,0.35757202731615817
白井,1261,0.07060881484700117,245,0.35903748644450306
廣瀬,1254,0.07021685473286238,246,0.36050294557284795
関口,1251,0.0700488718268029,247,0.3648993229578827
広瀬,1251,0.0700488718268029,247,0.3648993229578827
平山,1251,0.0700488718268029,247,0.3648993229578827
児玉,1238,0.06932094590054516,250,0.3663647820862276
津田,1231,0.06892898578640638,251,0.36783024121457253
谷,1228,0.0687610028803469,252,0.3692957003429174
村山,1219,0.06825705416216846,253,0.3707611594712623
竹田,1218,0.06820105986014863,254,0.37222661859960726
角田,1215,0.06803307695408915,255,0.37369207772795215
上村,1214,0.06797708265206932,256,0.3751575368562971
成田,1213,0.0679210883500495,257,0.376622995984642
坂口,1211,0.06780909974600985,258,0.37808845511298694
前川,1206,0.06752912823591072,259,0.37955391424133184
小原,1205,0.06747313393389089,260,0.3824848324980216
上原,1205,0.06747313393389089,260,0.3824848324980216
植田,1197,0.06702517951773228,262,0.38395029162636657
小倉,1189,0.06657722510157367,263,0.38541575075471146
若林,1186,0.06640924219551418,264,0.38688120988305635
宮下,1184,0.06629725359147454,265,0.38834666901140125
堀内,1183,0.06624125928945471,266,0.3898121281397462
大山,1181,0.06612927068541505,267,0.39127758726809114
